Name, Birthday
Isabella Fitzgerald
Jared G. Solomon
Stephen Kinsey
Chris Rabb
Rosita Youngblood
Emilio Vazquez
Donna Bullock
Pamela DeLissio
Morgan Cephas
Joanna E. McClinton
Vanessa L. Brown
"James Roebuck, Jr."
Jordan A. Harris
Maria Donatucci
William F. Keller
Brian Sims
Curtis Thomas
Angel Cruz
Jason Dawkins
Mike O'Brien
Ed Neilson
Michael Driscoll
Kevin J. Boyle
Greg Vitali
Margo L. Davidson
Leanne Krueger-Braneky
Brian Kirkland
Carolyn Comitta
Steven McCarter
Madeleine Dean
Tim Briggs
Mary Jo Daley
Tina Davis
John Galloway
Robert L. Freeman
Steve Samuelson
Daniel T. McNeill
Michael Schlossberg
Tom Caltagirone
Mark Rozzi
Neal Goodman
Eddie Day Pashinski
Gerald Mullery
Mike Carroll
Maureen E. Madden
Sid Michaels Kavulich
Martin Flynn
Kevin Haggerty
Patty Kim
Mike Sturla
Carol Hill-Evans
Scott Conklin
Mike Hanna
Frank Burns
Bryan Barbin
Matthew D. Bradford
Joe Petrarca
Pam Snyder
Brandon Neuman
Anita Astorino Kulik
Dan Miller
Bill Kortz
Harry Readshaw
Marc Gergely
Paul Costa
Frank Dermody
Anthony M. DeLuca
Perry Warren
Daniel J. Deasy
Joe Markosek
Edward Gainey
Dan Frankel
Peter Schweyer
Dom Costa
Adam Ravenstahl
Jake Wheatley
Robert F. Matzie
Chris Sainato
Mark Longietti
Ryan Bizzarro
Florindo Fabrizio
Pat Harkins
